厂商,车型,年款,配置名称,官方指导价(万),特色功能,功能内容
深蓝汽车,深蓝L06,2026款,670Ultra激光版,14.49,智能辅助驾驶小蓝灯,●标配
深蓝汽车,深蓝L06,2026款,670Ultra+激光版,15.69,智能辅助驾驶小蓝灯,●标配
深蓝汽车,深蓝L06,2026款,560Ultra激光版,13.49,智能辅助驾驶小蓝灯,●标配
深蓝汽车,深蓝L06,2026款,560Ultra+激光版,14.69,智能辅助驾驶小蓝灯,●标配
深蓝汽车,深蓝L06,2026款,670Ultra激光版,14.49,智能辅助驾驶小蓝灯,●标配
深蓝汽车,深蓝L06,2026款,670Ultra+激光版,15.69,智能辅助驾驶小蓝灯,●标配
蔚来,蔚来ES8,2024款,75kWh 行政版,51.8,NAD完整功能服务订阅,覆盖部分城区道路、封闭高速道路的自动驾驶体验，支持领航泊车、遥控泊车、智能召唤等功能体验，领航辅助 ○选配暂无价格
蔚来,蔚来ES8,2024款,100kWh,55.6,NAD完整功能服务订阅,覆盖部分城区道路、封闭高速道路的自动驾驶体验，支持领航泊车、遥控泊车、智能召唤等功能体验，领航辅助 ○选配暂无价格
蔚来,蔚来ES8,2024款,100kWh 行政版,57.6,NAD完整功能服务订阅,覆盖部分城区道路、封闭高速道路的自动驾驶体验，支持领航泊车、遥控泊车、智能召唤等功能体验，领航辅助 ○选配暂无价格
蔚来,蔚来ES8,2024款,75kWh,49.8,NAD完整功能服务订阅,覆盖部分城区道路、封闭高速道路的自动驾驶体验，支持领航泊车、遥控泊车、智能召唤等功能体验，领航辅助 ○选配暂无价格
蔚来,蔚来ES8,2024款,75kWh,49.8,NAD完整功能服务订阅,覆盖部分城区道路、封闭高速道路的自动驾驶体验，支持领航泊车、遥控泊车、智能召唤等功能体验，领航辅助 ○选配暂无价格
蔚来,蔚来ES8,2024款,75kWh 行政版,51.8,NAD完整功能服务订阅,覆盖部分城区道路、封闭高速道路的自动驾驶体验，支持领航泊车、遥控泊车、智能召唤等功能体验，领航辅助 ○选配暂无价格
蔚来,蔚来ES8,2024款,100kWh,55.6,NAD完整功能服务订阅,覆盖部分城区道路、封闭高速道路的自动驾驶体验，支持领航泊车、遥控泊车、智能召唤等功能体验，领航辅助 ○选配暂无价格
蔚来,蔚来ES8,2024款,100kWh 行政版,57.6,NAD完整功能服务订阅,覆盖部分城区道路、封闭高速道路的自动驾驶体验，支持领航泊车、遥控泊车、智能召唤等功能体验，领航辅助 ○选配暂无价格
蔚来,蔚来ES8,2024款,75kWh 行政版,51.8,打孔Haptex合成皮内饰,超纤绒合成皮方向盘、打孔Haptex合成皮座椅、Haptex合成皮内饰包覆 ○选配暂无价格
蔚来,蔚来ES8,2024款,100kWh,55.6,打孔Haptex合成皮内饰,超纤绒合成皮方向盘、打孔Haptex合成皮座椅、Haptex合成皮内饰包覆 ○选配暂无价格
蔚来,蔚来ES8,2024款,100kWh 行政版,57.6,打孔Haptex合成皮内饰,超纤绒合成皮方向盘、打孔Haptex合成皮座椅、Haptex合成皮内饰包覆 ○选配暂无价格
蔚来,蔚来ES8,2024款,75kWh,49.8,打孔Haptex合成皮内饰,超纤绒合成皮方向盘、打孔Haptex合成皮座椅、Haptex合成皮内饰包覆 ○选配暂无价格
蔚来,蔚来ES8,2024款,75kWh,49.8,打孔Haptex合成皮内饰,超纤绒合成皮方向盘、打孔Haptex合成皮座椅、Haptex合成皮内饰包覆 ○选配暂无价格
蔚来,蔚来ES8,2024款,75kWh 行政版,51.8,打孔Haptex合成皮内饰,超纤绒合成皮方向盘、打孔Haptex合成皮座椅、Haptex合成皮内饰包覆 ○选配暂无价格
蔚来,蔚来ES8,2024款,100kWh,55.6,打孔Haptex合成皮内饰,超纤绒合成皮方向盘、打孔Haptex合成皮座椅、Haptex合成皮内饰包覆 ○选配暂无价格
蔚来,蔚来ES8,2024款,100kWh 行政版,57.6,打孔Haptex合成皮内饰,超纤绒合成皮方向盘、打孔Haptex合成皮座椅、Haptex合成皮内饰包覆 ○选配暂无价格
腾势汽车,腾势N7,2024款,550 智驾Pro版,23.98,行政奢享后排,"后排座椅通风、按摩,后排座椅靠背角度电动调节,7英寸多功能后排扶手屏 ○选配10000元"
腾势汽车,腾势N7,2024款,702 智驾Pro版,25.98,行政奢享后排,"后排座椅通风、按摩,后排座椅靠背角度电动调节,7英寸多功能后排扶手屏 ○选配10000元"
腾势汽车,腾势N7,2024款,702 智驾Pro猎影版,25.98,行政奢享后排,"后排座椅通风、按摩,后排座椅靠背角度电动调节,7英寸多功能后排扶手屏 ○选配10000元"
腾势汽车,腾势N7,2024款,630 四驱智驾Max版,28.98,行政奢享后排,"后排座椅通风、按摩,后排座椅靠背角度电动调节,7英寸多功能后排扶手屏 ○选配10000元"
腾势汽车,腾势N7,2024款,550 智驾Pro版,23.98,行政奢享后排,"后排座椅通风、按摩,后排座椅靠背角度电动调节,7英寸多功能后排扶手屏 ○选配10000元"
腾势汽车,腾势N7,2024款,702 智驾Pro版,25.98,行政奢享后排,"后排座椅通风、按摩,后排座椅靠背角度电动调节,7英寸多功能后排扶手屏 ○选配10000元"
腾势汽车,腾势N7,2024款,702 智驾Pro猎影版,25.98,行政奢享后排,"后排座椅通风、按摩,后排座椅靠背角度电动调节,7英寸多功能后排扶手屏 ○选配10000元"
腾势汽车,腾势N7,2024款,630 四驱智驾Max版,28.98,行政奢享后排,"后排座椅通风、按摩,后排座椅靠背角度电动调节,7英寸多功能后排扶手屏 ○选配10000元"
腾势汽车,腾势N7,2024款,550 智驾Pro版,23.98,高阶智驾全享包,"DiPilot 300,窄道通行(NRP),城市领航(城市导航辅助驾驶),高感知激光雷达(2个) ○选配15000元"
腾势汽车,腾势N7,2024款,702 智驾Pro版,25.98,高阶智驾全享包,"DiPilot 300,窄道通行(NRP),城市领航(城市导航辅助驾驶),高感知激光雷达(2个) ○选配15000元"
腾势汽车,腾势N7,2024款,702 智驾Pro猎影版,25.98,高阶智驾全享包,"DiPilot 300,窄道通行(NRP),城市领航(城市导航辅助驾驶),高感知激光雷达(2个) ○选配15000元"
腾势汽车,腾势N7,2024款,630 四驱智驾Max版,28.98,高阶智驾全享包,"DiPilot 300,窄道通行(NRP),城市领航(城市导航辅助驾驶),高感知激光雷达(2个) ○选配15000元"
腾势汽车,腾势N7,2024款,550 智驾Pro版,23.98,高阶智驾全享包,"DiPilot 300,窄道通行(NRP),城市领航(城市导航辅助驾驶),高感知激光雷达(2个) ○选配15000元"
腾势汽车,腾势N7,2024款,702 智驾Pro版,25.98,高阶智驾全享包,"DiPilot 300,窄道通行(NRP),城市领航(城市导航辅助驾驶),高感知激光雷达(2个) ○选配15000元"
腾势汽车,腾势N7,2024款,702 智驾Pro猎影版,25.98,高阶智驾全享包,"DiPilot 300,窄道通行(NRP),城市领航(城市导航辅助驾驶),高感知激光雷达(2个) ○选配15000元"
腾势汽车,腾势N7,2024款,630 四驱智驾Max版,28.98,高阶智驾全享包,"DiPilot 300,窄道通行(NRP),城市领航(城市导航辅助驾驶),高感知激光雷达(2个) ○选配15000元"
广汽埃安新能源,AION V,2024款,520 智享版,12.98,非全尺寸备胎,○选配暂无价格
广汽埃安新能源,AION V,2024款,520 智豪版,13.98,非全尺寸备胎,○选配暂无价格
广汽埃安新能源,AION V,2024款,520 智尊版,14.98,非全尺寸备胎,○选配暂无价格
广汽埃安新能源,AION V,2024款,650 智豪版,14.98,非全尺寸备胎,○选配暂无价格
广汽埃安新能源,AION V,2024款,650 智尊版,15.98,非全尺寸备胎,○选配暂无价格
广汽埃安新能源,AION V,2024款,520 激光雷达版,16.98,非全尺寸备胎,○选配暂无价格
广汽埃安新能源,AION V,2024款,750 智尊版,17.98,非全尺寸备胎,○选配暂无价格
广汽埃安新能源,AION V,2024款,650 激光雷达版,18.98,非全尺寸备胎,○选配暂无价格
腾势汽车,DM,2025款,尊荣型,38.98,副驾屏幕分辨率（K）,●2.5K
腾势汽车,DM,2025款,旗舰型,44.98,副驾屏幕分辨率（K）,●2.5K
smart,smart精灵#5,2025款,超长续航豪华四驱版,31.99,副驾屏幕分辨率（K）,●2.5K
smart,smart精灵#5,2025款,BRABUS超能版,37.99,副驾屏幕分辨率（K）,●2.5K
smart,smart精灵#5,2024款,长续航奇旅 标准版,23.99,副驾屏幕分辨率（K）,●2.5K
smart,smart精灵#5,2024款,长续航奇旅 豪华版,26.99,副驾屏幕分辨率（K）,●2.5K
smart,smart精灵#5,2024款,超长续航奇旅 豪华版,29.99,副驾屏幕分辨率（K）,●2.5K
smart,smart精灵#5,2024款,丛林之境限量版,36.8,副驾屏幕分辨率（K）,●2.5K
方程豹,钛3,2025款,改款 501KM 四驱无人机版(可选装无人机),17.78,无人机套装,"包含:灵鸢比亚迪智能车载无人机系统,无人机套装专属电池包,直流充电最大功率237kW,绿净系统及负离子发生器。1、灵鸢比亚迪智能车载无人机系统包含一年大疆""DJICare随心换车载无人机版""(968元)、智能机库(含4K高清超广角车顶摄像头)*1、DJI AIR 3S 定制车载无人机*1、定制双模式手柄*1;无人机套装选择后,后续用车无法拆除,可开全景天窗变为不可开天幕(带遮阳帘);买车时不选择无人机套装则后续无法加装。2、直流充电最大功率237kW包括:智能升流快充技术、全场景智能脉冲自加热、智能末端快充技术以及最大直流充电功率237kW。 ○选配16968元"
方程豹,钛3,2025款,改款 501KM 四驱无人机版(可选装无人机),17.78,无人机套装,"包含:灵鸢比亚迪智能车载无人机系统,无人机套装专属电池包,直流充电最大功率237kW,绿净系统及负离子发生器。1、灵鸢比亚迪智能车载无人机系统包含一年大疆""DJICare随心换车载无人机版""(968元)、智能机库(含4K高清超广角车顶摄像头)*1、DJI AIR 3S 定制车载无人机*1、定制双模式手柄*1;无人机套装选择后,后续用车无法拆除,可开全景天窗变为不可开天幕(带遮阳帘);买车时不选择无人机套装则后续无法加装。2、直流充电最大功率237kW包括:智能升流快充技术、全场景智能脉冲自加热、智能末端快充技术以及最大直流充电功率237kW。 ○选配16968元"
方程豹,钛3,2025款,501KM 后驱Pro版,13.38,无人机套装,
方程豹,钛3,2025款,501KM 后驱Max版,13.98,无人机套装,
方程豹,钛3,2025款,501KM 后驱Ultra版,14.98,无人机套装,
方程豹,钛3,2025款,501KM 四驱Max版,15.38,无人机套装,
方程豹,钛3,2025款,501KM 四驱Ultra版,16.38,无人机套装,
方程豹,钛3,2025款,改款 501KM 四驱无人机版(可选装无人机),17.78,无人机套装,"包含:灵鸢比亚迪智能车载无人机系统,无人机套装专属电池包,直流充电最大功率237kW,绿净系统及负离子发生器。1、灵鸢比亚迪智能车载无人机系统包含一年大疆""DJICare随心换车载无人机版""(968元)、智能机库(含4K高清超广角车顶摄像头)*1、DJI AIR 3S 定制车载无人机*1、定制双模式手柄*1;无人机套装选择后,后续用车无法拆除,可开全景天窗变为不可开天幕(带遮阳帘);买车时不选择无人机套装则后续无法加装。2、直流充电最大功率237kW包括:智能升流快充技术、全场景智能脉冲自加热、智能末端快充技术以及最大直流充电功率237kW。 ○选配16968元"
长安启源,长安启源Q05,2026款,506 Max,9.99,激光智享包,天枢智能驾驶辅助-激光版、舒适可变阻尼悬架（FSD）、车机内存16G、全景天幕带电动遮阳帘、15.6寸中控屏、10.17寸液晶仪表、感应雨刮 ○选配9000元
长安启源,长安启源Q05,2026款,506 Max,9.99,激光智享包,天枢智能驾驶辅助-激光版、舒适可变阻尼悬架（FSD）、车机内存16G、全景天幕带电动遮阳帘、15.6寸中控屏、10.17寸液晶仪表、感应雨刮 ○选配9000元
长安启源,长安启源Q05,2026款,405 Air,7.99,激光智享包,
长安启源,长安启源Q05,2026款,405 Max,8.99,激光智享包,
长安启源,长安启源Q05,2026款,506 Pro,9.59,激光智享包,
长安启源,长安启源Q05,2026款,506 Max,9.99,激光智享包,天枢智能驾驶辅助-激光版、舒适可变阻尼悬架（FSD）、车机内存16G、全景天幕带电动遮阳帘、15.6寸中控屏、10.17寸液晶仪表、感应雨刮 ○选配9000元
长安启源,长安启源Q05,2026款,405 激光Ultra,9.99,激光智享包,
长安启源,长安启源Q05,2026款,506 激光Ultra+,10.99,激光智享包,
智己汽车,智己LS6,2026款,增程 52 Max,22.99,IMAD高级辅助驾驶全功能包,城市领航辅助(Urban NOA)、信任增强 IM CE)、高速高架领航辅助(Highway NOA)、代客泊车辅助功能(AVP)、车位到车位领航辅助(D2D) ○选配36800元
智己汽车,智己LS6,2026款,增程 52 Max+,24.49,IMAD高级辅助驾驶全功能包,城市领航辅助(Urban NOA)、信任增强 IM CE)、高速高架领航辅助(Highway NOA)、代客泊车辅助功能(AVP)、车位到车位领航辅助(D2D) ○选配36800元
智己汽车,智己LS6,2026款,增程 66 Max,24.49,IMAD高级辅助驾驶全功能包,城市领航辅助(Urban NOA)、信任增强 IM CE)、高速高架领航辅助(Highway NOA)、代客泊车辅助功能(AVP)、车位到车位领航辅助(D2D) ○选配36800元
智己汽车,智己LS6,2026款,增程 66 Max+,26.49,IMAD高级辅助驾驶全功能包,城市领航辅助(Urban NOA)、信任增强 IM CE)、高速高架领航辅助(Highway NOA)、代客泊车辅助功能(AVP)、车位到车位领航辅助(D2D) ○选配36800元
智己汽车,智己LS6,2026款,纯电 Max,22.49,IMAD高级辅助驾驶全功能包,城市领航辅助(Urban NOA)、信任增强 IM CE)、高速高架领航辅助(Highway NOA)、代客泊车辅助功能(AVP)、车位到车位领航辅助(D2D) ○选配36800元
智己汽车,智己LS6,2026款,纯电 Max+,24.49,IMAD高级辅助驾驶全功能包,城市领航辅助(Urban NOA)、信任增强 IM CE)、高速高架领航辅助(Highway NOA)、代客泊车辅助功能(AVP)、车位到车位领航辅助(D2D) ○选配36800元
智己汽车,智己LS6,2026款,纯电 Pro Max,24.49,IMAD高级辅助驾驶全功能包,城市领航辅助(Urban NOA)、信任增强 IM CE)、高速高架领航辅助(Highway NOA)、代客泊车辅助功能(AVP)、车位到车位领航辅助(D2D) ○选配36800元
智己汽车,智己LS6,2026款,纯电 Ultra,28.49,IMAD高级辅助驾驶全功能包,城市领航辅助(Urban NOA)、信任增强 IM CE)、高速高架领航辅助(Highway NOA)、代客泊车辅助功能(AVP)、车位到车位领航辅助(D2D) ○选配36800元
领克,领克09 EM-P,2021款,2.0TD 性能版 六座Halo,32.79,豪华升舱包+LCP驾驶辅助高级包,"前排座椅16向电动调节(含侧翼支撑,坐垫延展)、前排座椅按摩功能、副驾驶座椅后排电动调节(老板键)、前排可折叠航空头枕、 第三排座椅电动折叠及恢复、 第二排座椅加热功能、四温区自动空调、第二排空调控制屏、海洋之谜香氛系统;ELOW应急车道占用警示系统、TLA交通灯提醒系统、TJP交通拥堵领航辅助系统、HWC高速公路领航辅助系统、RPA一键遥控泊车系统、AVP记忆泊车系统 ○选配28000元"
领克,领克09 EM-P,2021款,2.0TD 性能版 七座Halo,32.79,豪华升舱包+LCP驾驶辅助高级包,"前排座椅16向电动调节(含侧翼支撑,坐垫延展)、前排座椅按摩功能、副驾驶座椅后排电动调节(老板键)、前排可折叠航空头枕、 第三排座椅电动折叠及恢复、 第二排座椅加热功能、四温区自动空调、第二排空调控制屏、海洋之谜香氛系统;ELOW应急车道占用警示系统、TLA交通灯提醒系统、TJP交通拥堵领航辅助系统、HWC高速公路领航辅助系统、RPA一键遥控泊车系统、AVP记忆泊车系统 ○选配28000元"
领克,领克09 EM-P,2021款,2.0TD 性能版 六座Halo,32.79,豪华升舱包+LCP驾驶辅助高级包,"前排座椅16向电动调节(含侧翼支撑,坐垫延展)、前排座椅按摩功能、副驾驶座椅后排电动调节(老板键)、前排可折叠航空头枕、 第三排座椅电动折叠及恢复、 第二排座椅加热功能、四温区自动空调、第二排空调控制屏、海洋之谜香氛系统;ELOW应急车道占用警示系统、TLA交通灯提醒系统、TJP交通拥堵领航辅助系统、HWC高速公路领航辅助系统、RPA一键遥控泊车系统、AVP记忆泊车系统 ○选配28000元"
领克,领克09 EM-P,2021款,2.0TD 性能版 七座Halo,32.79,豪华升舱包+LCP驾驶辅助高级包,"前排座椅16向电动调节(含侧翼支撑,坐垫延展)、前排座椅按摩功能、副驾驶座椅后排电动调节(老板键)、前排可折叠航空头枕、 第三排座椅电动折叠及恢复、 第二排座椅加热功能、四温区自动空调、第二排空调控制屏、海洋之谜香氛系统;ELOW应急车道占用警示系统、TLA交通灯提醒系统、TJP交通拥堵领航辅助系统、HWC高速公路领航辅助系统、RPA一键遥控泊车系统、AVP记忆泊车系统 ○选配28000元"
领克,领克09 EM-P,2021款,2.0TD 性能版 六座Halo,32.79,豪华升舱包+LCP驾驶辅助高级包,"前排座椅16向电动调节(含侧翼支撑,坐垫延展)、前排座椅按摩功能、副驾驶座椅后排电动调节(老板键)、前排可折叠航空头枕、 第三排座椅电动折叠及恢复、 第二排座椅加热功能、四温区自动空调、第二排空调控制屏、海洋之谜香氛系统;ELOW应急车道占用警示系统、TLA交通灯提醒系统、TJP交通拥堵领航辅助系统、HWC高速公路领航辅助系统、RPA一键遥控泊车系统、AVP记忆泊车系统 ○选配28000元"
领克,领克09 EM-P,2021款,2.0TD 性能版 七座Halo,32.79,豪华升舱包+LCP驾驶辅助高级包,"前排座椅16向电动调节(含侧翼支撑,坐垫延展)、前排座椅按摩功能、副驾驶座椅后排电动调节(老板键)、前排可折叠航空头枕、 第三排座椅电动折叠及恢复、 第二排座椅加热功能、四温区自动空调、第二排空调控制屏、海洋之谜香氛系统;ELOW应急车道占用警示系统、TLA交通灯提醒系统、TJP交通拥堵领航辅助系统、HWC高速公路领航辅助系统、RPA一键遥控泊车系统、AVP记忆泊车系统 ○选配28000元"
领克,领克09 EM-P,2021款,2.0TD 性能版 六座Halo,32.79,豪华升舱包+LCP驾驶辅助高级包,"前排座椅16向电动调节(含侧翼支撑,坐垫延展)、前排座椅按摩功能、副驾驶座椅后排电动调节(老板键)、前排可折叠航空头枕、 第三排座椅电动折叠及恢复、 第二排座椅加热功能、四温区自动空调、第二排空调控制屏、海洋之谜香氛系统;ELOW应急车道占用警示系统、TLA交通灯提醒系统、TJP交通拥堵领航辅助系统、HWC高速公路领航辅助系统、RPA一键遥控泊车系统、AVP记忆泊车系统 ○选配28000元"
领克,领克09 EM-P,2021款,2.0TD 性能版 七座Halo,32.79,豪华升舱包+LCP驾驶辅助高级包,"前排座椅16向电动调节(含侧翼支撑,坐垫延展)、前排座椅按摩功能、副驾驶座椅后排电动调节(老板键)、前排可折叠航空头枕、 第三排座椅电动折叠及恢复、 第二排座椅加热功能、四温区自动空调、第二排空调控制屏、海洋之谜香氛系统;ELOW应急车道占用警示系统、TLA交通灯提醒系统、TJP交通拥堵领航辅助系统、HWC高速公路领航辅助系统、RPA一键遥控泊车系统、AVP记忆泊车系统 ○选配28000元"
领克,领克09 EM-P,2021款,2.0TD 性能版 六座Halo,32.79,豪华升舱包,"前排座椅16向电动调节(含侧翼支撑,坐垫延展)、前排座椅按摩功能、副驾驶座椅后排电动调节(老板键)、前排可折叠航空头枕、 第三排座椅电动折叠及恢复、 第二排座椅加热功能、四温区自动空调、第二排空调控制屏、海洋之谜香氛系统 ○选配10000元"
领克,领克09 EM-P,2021款,2.0TD 性能版 七座Halo,32.79,豪华升舱包,"前排座椅16向电动调节(含侧翼支撑,坐垫延展)、前排座椅按摩功能、副驾驶座椅后排电动调节(老板键)、前排可折叠航空头枕、 第三排座椅电动折叠及恢复、 第二排座椅加热功能、四温区自动空调、第二排空调控制屏、海洋之谜香氛系统 ○选配10000元"
领克,领克09 EM-P,2021款,2.0TD 性能版 六座Halo,32.79,豪华升舱包,"前排座椅16向电动调节(含侧翼支撑,坐垫延展)、前排座椅按摩功能、副驾驶座椅后排电动调节(老板键)、前排可折叠航空头枕、 第三排座椅电动折叠及恢复、 第二排座椅加热功能、四温区自动空调、第二排空调控制屏、海洋之谜香氛系统 ○选配10000元"
领克,领克09 EM-P,2021款,2.0TD 性能版 七座Halo,32.79,豪华升舱包,"前排座椅16向电动调节(含侧翼支撑,坐垫延展)、前排座椅按摩功能、副驾驶座椅后排电动调节(老板键)、前排可折叠航空头枕、 第三排座椅电动折叠及恢复、 第二排座椅加热功能、四温区自动空调、第二排空调控制屏、海洋之谜香氛系统 ○选配10000元"
领克,领克09 EM-P,2021款,2.0TD 性能版 六座Halo,32.79,豪华升舱包,"前排座椅16向电动调节(含侧翼支撑,坐垫延展)、前排座椅按摩功能、副驾驶座椅后排电动调节(老板键)、前排可折叠航空头枕、 第三排座椅电动折叠及恢复、 第二排座椅加热功能、四温区自动空调、第二排空调控制屏、海洋之谜香氛系统 ○选配10000元"
领克,领克09 EM-P,2021款,2.0TD 性能版 七座Halo,32.79,豪华升舱包,"前排座椅16向电动调节(含侧翼支撑,坐垫延展)、前排座椅按摩功能、副驾驶座椅后排电动调节(老板键)、前排可折叠航空头枕、 第三排座椅电动折叠及恢复、 第二排座椅加热功能、四温区自动空调、第二排空调控制屏、海洋之谜香氛系统 ○选配10000元"
领克,领克09 EM-P,2021款,2.0TD 性能版 六座Halo,32.79,豪华升舱包,"前排座椅16向电动调节(含侧翼支撑,坐垫延展)、前排座椅按摩功能、副驾驶座椅后排电动调节(老板键)、前排可折叠航空头枕、 第三排座椅电动折叠及恢复、 第二排座椅加热功能、四温区自动空调、第二排空调控制屏、海洋之谜香氛系统 ○选配10000元"
领克,领克09 EM-P,2021款,2.0TD 性能版 七座Halo,32.79,豪华升舱包,"前排座椅16向电动调节(含侧翼支撑,坐垫延展)、前排座椅按摩功能、副驾驶座椅后排电动调节(老板键)、前排可折叠航空头枕、 第三排座椅电动折叠及恢复、 第二排座椅加热功能、四温区自动空调、第二排空调控制屏、海洋之谜香氛系统 ○选配10000元"
广汽丰田,铂智3X,2025款,610 Max,15.98,激光雷达套装,高速领航、城市领航、自动泊车 ○选配20000元
广汽丰田,铂智3X,2025款,430 Air,10.98,激光雷达套装,
广汽丰田,铂智3X,2025款,430 Air+,11.98,激光雷达套装,
广汽丰田,铂智3X,2025款,520 Pro,12.98,激光雷达套装,
广汽丰田,铂智3X,2025款,520 Pro+,13.98,激光雷达套装,
广汽丰田,铂智3X,2025款,520 Pro激光雷达版,14.98,激光雷达套装,
广汽丰田,铂智3X,2025款,520 Pro+激光雷达版,15.98,激光雷达套装,
广汽丰田,铂智3X,2025款,610 Max,15.98,激光雷达套装,高速领航、城市领航、自动泊车 ○选配20000元
领克,领克09 EM-P,2021款,2.0TD 性能版 七座Ultra,36.29,空气悬架系统+主动式进气格栅,○选配25000元
领克,领克09 EM-P,2021款,2.0TD 性能版 六座Ultra,36.29,空气悬架系统+主动式进气格栅,○选配25000元
领克,领克09 EM-P,2021款,2.0TD 性能版 六座Ultra,36.29,空气悬架系统+主动式进气格栅,○选配25000元
领克,领克09 EM-P,2021款,2.0TD 性能版 七座Ultra,36.29,空气悬架系统+主动式进气格栅,○选配25000元
领克,领克09 EM-P,2021款,2.0TD 性能版 六座Ultra,36.29,空气悬架系统+主动式进气格栅,○选配25000元
领克,领克09 EM-P,2021款,2.0TD 性能版 七座Ultra,36.29,空气悬架系统+主动式进气格栅,○选配25000元
领克,领克09 EM-P,2021款,2.0TD 性能版 六座Ultra,36.29,空气悬架系统+主动式进气格栅,○选配25000元
领克,领克09 EM-P,2021款,2.0TD 性能版 七座Ultra,36.29,空气悬架系统+主动式进气格栅,○选配25000元
一汽奥迪,奥迪A3,2026款,Sportback 35 TFSI 飞驰悦享型,16.59,防眩目视镜装备包,"自动防眩目内后视镜,外后视镜电动调整、加热、电动折叠、自动防眩目 ○选配2800元"
一汽奥迪,奥迪A3,2026款,Sportback 35 TFSI 飞驰尊享型,18.99,防眩目视镜装备包,"自动防眩目内后视镜,外后视镜电动调整、加热、电动折叠、自动防眩目 ○选配2800元"
一汽奥迪,奥迪A3,2026款,A3L Limousine 35 TFSI 飞驰悦享型,16.99,防眩目视镜装备包,"自动防眩目内后视镜,外后视镜电动调整、加热、电动折叠、自动防眩目 ○选配2800元"
一汽奥迪,奥迪A3,2026款,A3L Limousine 35 TFSI 飞驰尊享型,19.39,防眩目视镜装备包,"自动防眩目内后视镜,外后视镜电动调整、加热、电动折叠、自动防眩目 ○选配2800元"
一汽奥迪,奥迪A3,2025款,Sportback 35 TFSI 飞驰悦享型,16.59,防眩目视镜装备包,"自动防眩目内后视镜,外后视镜电动调整、加热、电动折叠、自动防眩目 ○选配2800元"
一汽奥迪,奥迪A3,2025款,Sportback 35 TFSI 飞驰尊享型,18.99,防眩目视镜装备包,"自动防眩目内后视镜,外后视镜电动调整、加热、电动折叠、自动防眩目 ○选配2800元"
一汽奥迪,奥迪A3,2025款,A3L Limousine 35 TFSI 飞驰悦享型,16.99,防眩目视镜装备包,"自动防眩目内后视镜,外后视镜电动调整、加热、电动折叠、自动防眩目 ○选配2800元"
一汽奥迪,奥迪A3,2025款,A3L Limousine 35 TFSI 飞驰尊享型,19.39,防眩目视镜装备包,"自动防眩目内后视镜,外后视镜电动调整、加热、电动折叠、自动防眩目 ○选配2800元"
领克,领克Z10,2024款,STARBUFF 95kWh 680km四驱智驾,28.28,能量蓝座舱套装,能量蓝麂皮绒座椅/门板/仪表板+麂皮绒顶棚 ○选配暂无价格
领克,领克Z10,2025款,95kWh 702km四驱Halo,22.98,能量蓝座舱套装,
领克,领克Z10,2024款,71kWh 602km后驱Pro,18.68,能量蓝座舱套装,
领克,领克Z10,2024款,95kWh 766km后驱Max,20.68,能量蓝座舱套装,
领克,领克Z10,2024款,STARBUFF 95kWh 766km后驱,21.68,能量蓝座舱套装,
领克,领克Z10,2024款,95kWh 806km后驱智驾Max,22.88,能量蓝座舱套装,
领克,领克Z10,2024款,95kWh 702km四驱智驾Ultra,26.28,能量蓝座舱套装,
领克,领克Z10,2024款,STARBUFF 95kWh 680km四驱智驾,28.28,能量蓝座舱套装,能量蓝麂皮绒座椅/门板/仪表板+麂皮绒顶棚 ○选配暂无价格
长安马自达,马自达EZ-60,2026款,增程 Max运动版,16.09,选装包4,100英寸高清裸眼3D-HUD+后排座椅加热/通风 ○选配5000元
长安马自达,马自达EZ-60,2026款,纯电 Max运动版,16.69,选装包4,100英寸高清裸眼3D-HUD+后排座椅加热/通风 ○选配5000元
长安马自达,马自达EZ-60,2025款,增程 200 Max,15.49,选装包4,100英寸高清裸眼3D-HUD+后排座椅加热/通风 ○选配5000元
长安马自达,马自达EZ-60,2025款,纯电 600 Max,16.09,选装包4,100英寸高清裸眼3D-HUD+后排座椅加热/通风 ○选配5000元
长安马自达,马自达EZ-60,2026款,增程 Max运动版,16.09,选装包4,100英寸高清裸眼3D-HUD+后排座椅加热/通风 ○选配5000元
长安马自达,马自达EZ-60,2026款,纯电 Max运动版,16.69,选装包4,100英寸高清裸眼3D-HUD+后排座椅加热/通风 ○选配5000元
长安马自达,马自达EZ-60,2025款,增程 200 Max,15.49,选装包4,100英寸高清裸眼3D-HUD+后排座椅加热/通风 ○选配5000元
长安马自达,马自达EZ-60,2025款,纯电 600 Max,16.09,选装包4,100英寸高清裸眼3D-HUD+后排座椅加热/通风 ○选配5000元
奇瑞汽车,捷途旅行者,2025款,2.0TD XWD发现,15.99,轮胎包1,255/55R20 HT胎+全尺寸备胎，无小书包备胎罩 ○选配暂无价格
奇瑞汽车,捷途旅行者,2025款,2.0TD XWD穿越,16.99,轮胎包1,255/55R20 HT胎+全尺寸备胎，无小书包备胎罩 ○选配暂无价格
奇瑞汽车,捷途旅行者,2025款,2.0TD XWD穿越+,17.99,轮胎包1,255/55R20 HT胎+全尺寸备胎，无小书包备胎罩 ○选配暂无价格
奇瑞汽车,捷途旅行者,2025款,2.0TD XWD悦野,19.19,轮胎包1,255/55R20 HT胎+全尺寸备胎，无小书包备胎罩 ○选配暂无价格
